Name,X,Y,GSE,TOS,BOS,KrigedBot,KrigedTop,KrigeType,Subregion,FG_Elem
357333N1193674W001,828566.9232,3960455.862,258.61,-25.75417323,-93.33652231,TRUE,TRUE,3,19,29066
357333N1197253W001,796183.142,3959314.459,222.6,-349.9846457,-414.6024278,TRUE,TRUE,3,19,28023
357334N1196103W001,806587.8538,3959679.368,205.65,-431.4511811,-522.4492126,TRUE,TRUE,3,19,28375
357336N1193335W001,831633.249,3960603.425,272.62,-57.98958005,-117.3829528,TRUE,TRUE,3,20,29208
357336N1194205W001,823760.823,3960312.31,238.59,-173.1583596,-249.253832,TRUE,TRUE,3,19,28936
357339N1193126W001,833523.224,3960707.7,279.62,-122.0607743,-201.7582808,TRUE,TRUE,3,20,29338
357344N1191362W001,849483.8751,3961378.426,479.7,-111.0759186,-840.0906824,TRUE,TRUE,3,20,30448
357355N1191393W001,849198.5297,3961489.454,478.7,-119.2084646,-840.5585302,TRUE,TRUE,3,20,30352
357355N1191885W001,844746.2994,3961315.094,383.67,-289.560315,-801.2476509,TRUE,TRUE,3,20,30155
357355N1192946W001,835145.3216,3960946.731,286.63,-149.0245276,-260.3020866,TRUE,TRUE,3,20,29458
357356N1199852W001,772661.1608,3958815.17,511.98,-118.7211155,-228.086273,TRUE,TRUE,3,14,27682
357358N1195642W001,810749.7059,3960090.977,219.56,-477.7388845,-573.88521,TRUE,TRUE,3,19,28595
357361N1197591W001,793114.7464,3959523.505,239.64,-347.8025853,-412.383622,TRUE,TRUE,3,19,28021
357364N1190640W001,856008.7591,3961860.554,708.17,-153.4878084,-974.2771785,TRUE,TRUE,3,20,30551
357366N1191282W001,850198.1816,3961651.192,502.71,-75.13350394,-810.0445932,TRUE,TRUE,3,20,30448
357367N1192767W001,836760.0028,3961141.326,292.63,-191.9411942,-348.9156037,TRUE,TRUE,3,20,29578
357386N1198579W001,784167.2314,3959509.809,383.94,-214.395958,-296.7850656,TRUE,TRUE,3,19,27801
357394N1193384W001,831165.7937,3961230.54,,,,TRUE,TRUE,3,19,29210
357394N1194789W001,818453.3455,3960764.497,220.58,-287.107664,-417.4383727,TRUE,TRUE,3,19,28815
357394N1196914W001,799227.4873,3960094.394,222.39,-358.5607874,-427.5168241,TRUE,TRUE,3,19,28142
357394N1196914W002,799227.4873,3960094.394,,,,TRUE,TRUE,3,19,28142
357402N1193374W001,831252.9563,3961322.708,268.62,-38.12409449,-94.66805774,TRUE,TRUE,3,20,29209
357403N1190256W001,859466.2209,3962433.766,784.1475,293.88,-1006.12,FALSE,FALSE,1,20,30649
357403N1190320W001,858887.0743,3962410.282,727.79,227.79,-792.21,FALSE,FALSE,1,20,30648
357403N1191078W001,852027.9147,3962135.026,531.36,-173.5727428,-1276.542559,TRUE,TRUE,3,20,30450
357413N1190505W001,857208.5104,3962453.604,752.78,-52.63765092,-739.8108793,TRUE,TRUE,3,20,30550
357414N1196931W001,799066.1953,3960311.14,219.59,-365.702979,-435.2764698,TRUE,TRUE,3,19,28142
357419N1192063W001,843108.0417,3961962.887,353.66,-271.4476115,-695.4059449,TRUE,TRUE,3,20,30053
357422N1190815W001,854399.3474,3962440.812,632.75,-87.94324147,-1195.955709,TRUE,TRUE,3,20,30452
357422N1196538W001,802618.6232,3960520.633,221.58,-385.1047113,-462.5886352,TRUE,TRUE,3,19,28258
357425N1192152W001,842300.1641,3961998.323,343.65,-261.8611549,-646.2788058,TRUE,TRUE,3,20,29943
357436N1196136W001,806250.1461,3960800.957,220.57,-437.2252756,-523.7525066,TRUE,TRUE,3,19,28374
357436N1199371W001,776984.9389,3959837.777,477.99,-167.1028478,-272.1277822,TRUE,TRUE,3,19,27684
357439N1191448W001,848664.1192,3962402.168,452.69,-168.7411024,-845.3470735,TRUE,TRUE,3,20,30352
357441N1195464W001,812327.7735,3961068.685,216.57,-386.6734383,-530.1737664,TRUE,TRUE,3,19,28486
357450N1190676W001,855644.6495,3962802.011,638.38,-199.0179659,-831.1633071,TRUE,TRUE,3,20,30452
357450N1193663W001,828618.2951,3961758.033,255.61,-43.59538058,-96.61867454,TRUE,TRUE,3,19,29068
357452N1193671W001,828545.0918,3961777.544,255.61,-45.08520997,-97.96939633,TRUE,TRUE,3,19,29068
357455N1192771W001,836686.6862,3962116.616,288.63,-179.1209843,-323.9490682,TRUE,TRUE,3,20,29579
357458N1191568W001,847570.0431,3962570.372,,,,TRUE,TRUE,3,20,30353
357461N1192098W001,842773.3086,3962416.773,342.66,-266.5890157,-668.172021,TRUE,TRUE,3,20,30053
357461N1198046W001,788962.0557,3960497.972,288.75,-322.7057087,-396.746063,TRUE,TRUE,3,19,27805
357464N1190898W001,853629.687,3962876.961,593.036,109.312,-1390.688,FALSE,FALSE,1,20,30451
357464N1198043W001,788988.1081,3960532.146,288.75,-320.1046588,-394.2765748,TRUE,TRUE,3,19,27805
357466N1192768W001,836709.1883,3962239.731,288.63,-178.4877822,-323.0363386,TRUE,TRUE,3,20,29579
357466N1192768W002,836709.1883,3962239.731,288.63,-178.4881102,-323.0369948,TRUE,TRUE,3,20,29579
357467N1193503W001,830058.8692,3962000.525,259.61,-37.16559055,-89.17182415,TRUE,TRUE,3,19,29210
357467N1196713W001,801018.4465,3960966.065,222.59,-370.5441864,-444.2416929,TRUE,TRUE,3,19,28257
357469N1191390W001,849175.7965,3962755.814,464.7,-153.5086614,-856.0185039,TRUE,TRUE,3,20,30352
357469N1191838W001,845122.3107,3962596.923,390.67,-279.6646457,-778.83,FALSE,TRUE,2,20,30156
357469N1191838W002,845122.3107,3962596.923,390.67,-279.1639895,-778.3427953,TRUE,TRUE,3,20,30156
357469N1197252W001,796141.7504,3960823.924,,,,TRUE,TRUE,3,19,28023
357472N1192060W001,843112.3988,3962552.173,352.66,-261.5414436,-677.937769,TRUE,TRUE,3,20,30053
357472N1193123W001,833494.8,3962184.8,271.62,-90.90821522,-163.9082152,TRUE,TRUE,3,20,29339
357472N1193396W001,831024.8647,3962092.143,264.62,-36.01090551,-89.64541995,TRUE,TRUE,3,19,29210
357472N1193757W001,827758.7965,3961970.68,251.11,-62.61637795,-113.6304856,TRUE,TRUE,3,19,29067
357472N1193942W001,826085.0658,3961908.903,243.61,-120.0963648,-170.2722178,TRUE,TRUE,3,19,28940
357475N1193666W001,828580.8599,3962034.479,254.61,-48.74695538,-99.73711286,TRUE,TRUE,3,19,29069
357481N1195803W001,809245.347,3961404.985,195.38,-500.4767585,-592.2618635,TRUE,TRUE,3,19,28484
357486N1192466W001,839433.074,3962566.002,305.64,-228.5388058,-469.6506824,TRUE,TRUE,3,20,29831
357491N1194374W001,822169.0508,3961976.74,222.6,-253.0049869,-303.8242126,TRUE,TRUE,3,19,28819
357500N1191971W001,843905.5836,3962894.173,368.16,-257.7225459,-704.0680184,TRUE,TRUE,3,20,30053
357503N1190578W001,856507.7196,3963425.933,679.1175,-68.07135827,-498.1586286,TRUE,TRUE,3,20,30551
357503N1194779W001,818500.3288,3961977.398,218.59,-299.0888058,-405.5615748,TRUE,TRUE,3,19,28709
357506N1190712W001,855293.9645,3963410.498,602.75,-206.0557743,-754.8195538,TRUE,TRUE,3,20,30452
357517N1190984W001,852828.0981,3963434.181,537.72,-92.38761155,-1286.547388,TRUE,TRUE,3,20,30451
