Name,X,Y,ObsWL,SimWL,Residual,pt_size,color
367515N1204776W001,725182.3228,4070272.979,223.27,203.08999999999997,20.18000000000002,5.492215489043243,#ff6a00
362906N1194304W001,820597.6829999994,4022096.472000002,188.38216216216222,208.53594594594594,-20.153783783783783,5.489296580065053,#008cff
373849N1206816W001,705252.5339,4140094.097000002,84.16890909090908,104.31696969696971,-20.148060606060604,5.488659110030589,#008cff
363497N1201488W001,755864.2505,4026511.596,-4.122222222222223,-24.254444444444445,20.13222222222222,5.486894496444308,#ff6a00
364691N1197874W001,787864.1431000005,4040780.371999999,126.91999999999997,106.81374999999997,20.106249999999996,5.483999330954455,#ff6a00
379800N1210495W001,671303.2946999993,4205390.722999996,-23.684009661884055,-3.5947826086956534,-20.089227053188406,5.482100741079835,#008cff
377813N1214420W001,637197.7237999999,4182693.2209999952,0.09699999999999989,20.1726,-20.075600000000005,5.480580319556832,#008cff
367062N1205856W001,715665.905,4064997.917,-60.400000000000006,-40.34,-20.060000000000002,5.4788391353117385,#008cff
362033N1201852W001,753069.532,4010171.189,79.33333333333333,99.39333333333333,-20.06,5.4788391353117385,#008cff
365263N1198885W001,778597.1950000002,4046830.4159999997,67.83340909090913,87.87954545454544,-20.04613636363636,5.477291185933338,#008cff
361229N1201289W001,758396.5767,4001398.4910000004,122.90000000000002,142.94,-20.039999999999992,5.4766058571198775,#008cff
356058N1193762W002,828293.1816000002,3946276.422999999,63.10631578947368,43.08894736842106,20.017368421052634,5.474077382103783,#ff6a00
388260N1215394W002,626788.0686999994,4298481.226999999,16.824900709204254,36.83540425531914,-20.010503546114894,5.473310133012789,#008cff
358197N1192995W001,834348.5763000001,3970274.8419999974,216.862,196.86079999999998,20.001200000000004,5.472270117065829,#ff6a00
368952N1203996W001,731712.9271,4086404.6969999997,125.91999999999999,145.91,-19.990000000000002,5.471017781221632,#008cff
368782N1205266W001,720443.2613999997,4084217.304000001,132.16370370370373,152.1496296296296,-19.98592592592593,5.470562148760034,#008cff
362258N1200777W001,762661.7149,4012953.9669999997,-26.819999999999993,-46.80499999999999,19.985,5.470458589451423,#ff6a00
364386N1197154W001,794433.171,4037613.3009999995,196.23833333333334,176.26624999999999,19.972083333333334,5.4690136868590296,#ff6a00
373805N1207477W001,699411.4181999998,4139464.040999998,79.312,99.26814814814816,-19.95614814814815,5.467230478512179,#008cff
361122N1199674W001,772972.5776,4000653.137000001,160.67555555555555,140.72666666666666,19.94888888888889,5.466417903520549,#ff6a00
374996N1211493W001,663591.818,4151905.6610000003,54.373333333333335,74.32,-19.946666666666662,5.4661691265184595,#008cff
373496N1206593W001,707324.2627,4136225.8129999973,88.15565624999999,108.09218750000002,-19.936531249999994,5.465034294381175,#008cff
363867N1200221W002,767110.5519000001,4030960.5460000006,16.455555555555552,36.38444444444444,-19.928888888888892,5.464178411408856,#008cff
