NAME	X	Y	Element	BOS	TOS	Layer
C_375227N1212221W001	657108.8579	4154344.129	16206	-293.0327953	-44.89171916	-1
C_375230N1209752W001	678928.1743	4154818.611	17679	17.97355643	67.65990814	-1
C_375241N1210513W001	672200.1713	4154798.567	17271	-169.58	51.89506562	-1
C_375246N1206074W001	711429.8517	4155759.775	18261	-221.5077822	-28.25089239	-1
C_375257N1212229W001	657031.8678	4154675.664	16206	-300.3057612	-46.87170604	-1
C_375280N1209035W001	685252.4939	4155512.293	18004	3.053425197	52.5491601	1
C_375285N1206174W001	710535.0727	4156170.104	18260	-199.2320604	-57.3071916	-1
C_375291N1208760W001	687679.9841	4155688.901	18086	30.277021	72.98699475	-1
C_375313N1212242W001	656905.2507	4155294.853	16207	-312.4	-72.40656168	-1
C_375321N1207113W001	702226.8807	4156363.398	18177	-233.2743963	-115.9614042	-1
C_375338N1205977W001	712261.0586	4156802.548	18183	-267.9470866	-15.24826772	-1
C_375341N1204632W001	724146.1339	4157148.147	18273	-304.998832	23.23968504	-1
C_375355N1209760W001	678827.6126	4156204.104	17680	-5.599199475	71.38997375	-1
C_375357N1208129W001	693239.2197	4156549.121	18171	-9.592664042	115.7180315	-1
C_375360N1204796W001	722691.175	4157320	18192	-319.8030315	11.0864042	-1
C_375360N1209402W001	681989.7849	4156328.299	17917	5.527913386	63.46393701	-1
C_375360N1210313W001	673940.0237	4156155.812	17383	-78.83413386	41.40274278	-1
C_375363N1204960W001	721241.0252	4157314.551	18270	-321.2421785	13.86444882	-1
C_375366N1209204W001	683737.8915	4156433.399	17918	-45.81947507	34.96595801	-1
C_375388N1207552W001	698329.6731	4157013.317	18095	9.35	21.3644357	-1
C_375430N1209941W001	677210.4933	4157002.03	17525	-103.57	67.90506562	-1
C_375443N1208099W001	693482.0767	4157509.588	18172	0.493385827	110.6160892	-1
C_375463N1210929W001	668473.8128	4157186.486	17083	-198.6597244	-65.99863517	2
C_375474N1206404W001	708449.7656	4158216.125	18180	-283.3898819	-92.25175853	-1
C_375477N1209932W001	677278.8755	4157525.244	17525	25.44	62.33595801	1
C_375491N1207902W001	695210.1398	4158082.966	18093	36.0224147	113.2291076	-1
C_375504N1212400W001	655469.4182	4157387.88	16096	-218	-84.46227034	-1
C_375507N1210838W001	669267.827	4157691.062	17180	-161.9479134	-16.08341207	-1
C_375509N1212609W001	653622.0581	4157408.987	16095	-261.3	-16.28687664	-1
C_375510N1210674W001	670715.971	4157754.019	17178	-120.1101837	35.39145669	-1
C_375516N1208460W001	690273.9186	4158245.906	18090	-47.52174541	60.01959318	-1
C_375516N1210166W001	675202.4055	4157914.103	17384	-8.435	67.07287402	-1
C_375518N1208643W001	688656.6958	4158231.195	18089	-12.17992126	66.02513123	-1
C_375518N1209743W001	678938.846	4158016.011	17682	-75.25341207	56.04251969	-1
C_375521N1211021W001	667648.0134	4157813.597	16978	-212.5345538	-82.03783465	-1
